gender,Age,Attitude,deep,stra,surf,Points
M,23,33,3.8333333333333335,3,2.3333333333333335,24
F,21,33,3.8333333333333335,4,2.75,28
F,21,35,3.8333333333333335,3.5,2.75,17
F,20,36,3.6666666666666665,2.625,2.9166666666666665,18
M,22,37,4.333333333333333,2.5,2.0833333333333335,17
M,21,42,3.75,3.75,3.6666666666666665,23
M,21,32,4.166666666666667,3.625,2.8333333333333335,26
F,20,50,4,4.125,3.4166666666666665,28
M,22,47,4,4.375,1.5833333333333333,31
F,20,36,4.583333333333333,2.625,2.9166666666666665,27
F,20,36,3.6666666666666665,4,3,25
M,24,29,3.6666666666666665,2.75,2.9166666666666665,23
F,20,35,3.8333333333333335,2.75,2.6666666666666665,21
F,19,40,2.5833333333333335,1.375,3,27
F,21,35,3.5,2.25,2.75,28
F,21,32,3.0833333333333335,3.625,3.0833333333333335,23
F,22,26,4.25,3.75,2.5,21
F,25,20,3.1666666666666665,4,2.3333333333333335,25
F,21,27,3.0833333333333335,3.125,3,11
F,22,32,4.166666666666667,3.25,3,19
F,25,33,2.25,2.125,4,24
F,20,39,3.3333333333333335,2.875,3.25,28
M,24,33,3.0833333333333335,1.5,3.5,21
F,20,30,2.75,2.5,3.5,24
M,21,37,3.25,3.25,3.8333333333333335,24
F,20,25,4,3.625,2.9166666666666665,20
F,20,29,3.5833333333333335,3.875,2.1666666666666665,19
M,31,39,4.083333333333333,3.875,1.6666666666666667,30
F,20,36,4.25,2.375,2.0833333333333335,22
F,22,29,3.4166666666666665,3,2.8333333333333335,16
F,22,21,3.0833333333333335,3.375,3.4166666666666665,16
M,21,31,3.5,2.75,3.3333333333333335,19
M,22,40,3.6666666666666665,4.5,2.5833333333333335,30
F,21,31,4.25,2.625,2.8333333333333335,23
F,21,23,4.25,2.75,3.3333333333333335,19
F,21,28,3.8333333333333335,3.25,3,18
F,21,37,4.416666666666667,4.125,2.5833333333333335,28
F,20,26,3.5,3.375,2.4166666666666665,21
F,21,24,3.5833333333333335,2.75,3.5833333333333335,19
F,25,30,3.6666666666666665,4.125,2.0833333333333335,27
M,21,28,2.0833333333333335,3.25,4.333333333333333,24
F,24,29,4.25,2.875,2.6666666666666665,21
F,20,24,3.5833333333333335,2.875,3,20
M,21,31,4,2.375,2.6666666666666665,28
F,20,19,3.3333333333333335,3.875,2.1666666666666665,12
F,20,20,3.5,2.125,2.6666666666666665,21
F,18,38,3.1666666666666665,4,2.25,28
F,21,34,3.5833333333333335,3.25,2.6666666666666665,31
F,19,37,3.4166666666666665,2.625,3.3333333333333335,18
F,21,29,4.25,2.75,3.5,25
F,20,23,3.25,4,2.75,19
M,21,41,4.416666666666667,3,2,21
F,20,27,3.25,3.375,2.8333333333333335,16
F,21,35,3.9166666666666665,3.875,3.5,7
F,20,34,3.5833333333333335,3.25,2.5,21
F,18,32,4.5,3.375,3.1666666666666665,17
M,22,33,3.5833333333333335,4.125,3.0833333333333335,22
F,22,33,3.6666666666666665,3.5,2.9166666666666665,18
M,24,35,2.5833333333333335,2,3.1666666666666665,25
F,19,32,4.166666666666667,3.625,2.5,24
F,20,31,3.25,3.375,3.8333333333333335,23
F,20,28,4.333333333333333,2.125,2.25,23
F,17,17,3.9166666666666665,4.625,3.4166666666666665,26
M,19,19,2.6666666666666665,2.5,3.75,12
F,20,35,3.0833333333333335,2.875,3,32
F,20,24,3.75,2.75,2.5833333333333335,22
F,20,21,4.166666666666667,4,3.3333333333333335,20
F,20,29,4.166666666666667,2.375,2.8333333333333335,21
F,19,19,3.25,3.875,3,23
F,19,20,4.083333333333333,3.375,2.8333333333333335,20
F,22,42,2.9166666666666665,1.75,3.1666666666666665,28
M,35,41,3.8333333333333335,3,2.75,31
F,18,37,3.1666666666666665,2.625,3.4166666666666665,18
F,19,36,3.4166666666666665,2.625,3,30
M,21,18,4.083333333333333,3.375,2.6666666666666665,19
